State,Year,Unknw,ParFamContUnr,UnatoCont,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,Birth,TotPas,Tscr,HL,NHL,PerD,PerDHL,PerEI,PerEI6,PerHL3,HLp,LTF,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,EIr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr
Michigan,2016,NA,230,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,0,NA,86,56,102,1248,964,111662,109450,110698,175,392,45.43269230769231,30.864197530864196,49.142857142857146,NA,58.285714285714285,1.5808777033008727,NA,NA,NA,NA,NA,0.8633196611201661,NA,5.1220437586948275,0.7768884713364289,NA,11.273916421254222,NA,NA,NA,NA,86,NA,NA,NA,NA,99.13668033887984
Minnesota,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2016,0,45,0,685,0,34602,25,0,0,360,286,341,368,0,0,37,22,11,627,639,36938,35672,36299,44,324,58.69218500797449,11.956521739130435,84.0909090909091,50,25,1.21215460481005,45,7.177033492822966,987,2.7190831703352707,21.091445427728615,1.7299258216470843,101.87828700225394,10.138020331138598,1.0193118267720873,1.2397035731011874,17.27320311854321,5.895479214303425,34.549138804457954,1331,134.8530901722391,37,22,286,1356,1070,98.27007417835291
Missouri,2016,0,318,26,1,0,71791,0,3,338,1407,128,682,724,0,0,77,63,91,1151,1397,75747,73199,74350,100,624,62.9018245004344,13.812154696132598,77,63,91,1.3449899125756557,344,29.88705473501303,2555,3.4364492266308,8.512020792722547,1.844297463925964,82.12379935965849,9.737726967047747,1.0356422326832548,4.6267652992602555,15.480833893745798,1.1163416274377942,26.69275929549902,1874,73.34637964774952,77,63,131,1539,1408,98.15570253607405
Montana,2016,33,129,44,396,19,10642,21,2,176,693,75,29,65,0,0,15,13,9,301,231,12284,11752,12053,21,44,21.59468438538206,32.30769230769231,71.42857142857143,61.904761904761905,42.857142857142854,1.7423048203766696,206,68.43853820598007,973,8.07267900107857,7.960199004975125,1.8804949527841095,88.74172185430463,5.392848253546835,1.2445034431261928,17.091180618933045,24.973035758732266,2.4890068862523855,2.9804727646454263,1359,139.67112024665983,15,13,96,1206,1110,98.1195050472159
Nebraska,2016,NA,22,1,70,1,25956,12,1,131,712,65,1,150,0,0,50,39,44,199,167,27116,26750,26949,62,88,75.37688442211056,41.333333333333336,80.64516129032258,62.903225806451616,70.96774193548387,2.3006419533192326,NA,NA,909,3.37303796059223,7.781649245063879,0.6158725475733884,87.94688457609806,5.56606924190137,1.855356413967123,NA,7.3843185275891505,NA,0.11001100110011,979,107.70077007700769,50,39,67,861,794,99.38412745242661
Nevada,2016,52,38,92,3,0,33693,13,3,31,441,328,133,269,0,0,40,27,24,495,1282,35927,34150,34645,49,220,54.34343434343434,18.21561338289963,81.63265306122449,55.10204081632652,48.97959183673469,1.4143455044017896,182,36.76767676767677,933,2.693029297156877,42.00507614213198,3.5683469257104687,98.13200498132005,7.764468177226151,1.1545677586953382,5.25328330206379,14.287776013854813,1.2700245345648722,14.255091103965704,803,86.06645230439443,40,27,331,788,457,96.43165307428954
New Hampshire,2016,56,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,0,NA,11,8,8,399,200,12185,11586,11985,20,273,73.43358395989975,6.825938566552901,55.00000000000001,NA,40,1.668752607425949,NA,NA,NA,NA,NA,1.6413623307345095,NA,24.447225698790152,0.917813934084272,NA,33.29161451814768,NA,NA,NA,NA,11,NA,NA,NA,NA,98.35863766926549
New Jersey,2016,37,190,46,210,27,97253,127,0,252,1481,175,263,388,0,NA,101,59,78,717,600,100388,99071,99788,140,248,54.11436541143654,36.08247422680412,72.14285714285714,NA,55.714285714285715,1.4029743055277188,273,38.07531380753138,2171,2.175612298071912,10,0.5976809977288122,94.17249417249417,3.8882430753196777,1.0121457489878543,2.735799895779052,7.185232693309817,0.5611897222110875,12.114233072316905,2145,98.80239520958084,101,NA,202,2020,1818,99.40231900227118
New Mexico,2016,39,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,0,NA,33,13,19,372,629,23291,22290,22662,43,183,60.752688172043015,19.02654867256637,76.74418604651163,NA,44.18604651162791,1.8974494748918895,NA,NA,NA,NA,NA,2.7006139710617836,NA,9.972641426175977,1.4561821551495897,NA,16.415144294413555,NA,NA,NA,NA,33,NA,NA,NA,NA,97.29938602893822
