State,Year,HLp,Tscr1r,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReDirDiag,PerOPS,PerNPOS,PerLTF,PerD,PerDHL,PerHL3,PerEI,PerEI6,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,LTF,TDia,TDia3,HL,NHL,HL3,NHL3,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Mississippi,2007,1.905615962336061,0,12.689160408026007,1.0312745207936331,1.748682883084856,9.909203004147518,1.905615962336061,1.0985315547584351,98.01357973148168,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8127208480565371,78.09187279151944,19.230769230769234,48.23529411764706,100,57.647058823529406,0,NA,NA,NA,NA,NA,NA,78,85,49,45509,44605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44039,566,0,0,46,442,326,85,357,41,285,85,0,49,0
Missouri,2007,1.6442081839535172,976.4247743849672,18.420076647298803,10.45864754605019,1.9038200024724934,6.057609098776116,0.8282853257510199,0.5439485721349981,97.6661072407423,NA,95.36360672759983,98.38193028879633,1.6180697112036766,NA,NA,NA,NA,NA,NA,5.677852348993289,32.88590604026846,27.142857142857142,66.16541353383458,50.37593984962406,33.08270676691729,78983,NA,NA,NA,NA,NA,NA,154,67,44,82823,80890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79400,1490,77705,1278,846,490,359,133,357,88,271,66,1,43,1
Montana,2007,0.9365687526607067,0,26.905065985525756,25.71306939123031,0,1.191996594295445,0.8514261387824607,0.7662835249042146,94.71010402386905,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.556962025316455,4.430379746835443,78.57142857142857,100,90.9090909090909,81.81818181818183,0,NA,NA,NA,NA,NA,NA,0,10,9,12401,11745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11429,316,0,0,302,14,11,11,3,11,0,4,6,3,6
Nebraska,2007,1.859219871341985,977.8380991336036,8.366489421038933,4.239021306659725,0.8180567433904734,3.3094113709887334,1.487375897073588,1.2642695125125496,99.17029279445387,NA,96.97249059665167,99.25466783283264,0.7453321671673575,NA,NA,NA,NA,NA,NA,5.066666666666667,39.55555555555556,56.17977528089888,56.00000000000001,80,68,26297,NA,NA,NA,NA,NA,NA,22,40,34,27118,26893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26668,225,26101,196,114,89,40,50,39,28,12,40,0,34,0
Nevada,2007,NA,970.3954160644229,29.60458393557712,NA,NA,NA,NA,NA,95.1870869469081,NA,92.36911284180526,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37597,NA,NA,NA,NA,NA,NA,NA,NA,NA,40703,38744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37597,1147,37597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2007,2.9199211621286225,987.2983429447405,20.22045404774071,8.248777283013357,1.4599605810643113,10.51171618366304,1.0949704357982335,0.8759763486385868,98.22888283378747,NA,96.98121325111143,98.07763401109058,1.9223659889094271,NA,NA,NA,NA,NA,NA,4.07942238267148,51.985559566786996,27.77777777777778,70,37.5,30,13525,NA,NA,NA,NA,NA,NA,20,15,12,13946,13699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13422,277,13265,260,113,144,102,40,104,28,74,15,0,12,0
New Jersey,2007,0.8413816560897236,974.543729468945,16.818682253112666,13.095120881481547,0.9666938176350015,2.756867553996115,0.581806464317362,0.3401330099086116,98.96623201757494,NA,96.44692084189639,98.55616888782754,1.4438311121724514,NA,NA,NA,NA,NA,NA,7.78605641298563,16.391697711548698,30.519480519480517,52.12765957446809,69.14893617021278,40.42553191489361,108877,NA,NA,NA,NA,NA,NA,108,65,38,112888,111721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109842,1879,107305,1572,1463,308,212,94,214,49,163,65,0,38,0
New Mexico,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2007,NA,961.5163262859198,12.957116022541065,NA,NA,NA,NA,NA,98.93868577348613,NA,95.13116167247938,99.07764952344532,0.922350476554674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240581,NA,NA,NA,NA,NA,NA,NA,NA,NA,252894,250210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246968,3242,238362,2219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2007,1.434008893906225,963.0590155681498,9.854997292164056,0.1983203789444779,5.987749902746737,3.6689270104728418,1.3119655837865463,0.5873334299509538,98.23979018358936,NA,94.61071562382915,99.27133330165218,0.7286666983478274,NA,NA,NA,NA,NA,NA,0.20123839009287925,37.22910216718267,39.08523908523909,30.851063829787233,91.48936170212765,40.95744680851064,126258,NA,NA,NA,NA,NA,NA,785,172,77,133450,131101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129809,1292,125338,920,26,481,186,188,293,58,128,172,0,77,0
