State,Year,HLp,Tscr1r,NPr,LTFdiar,Dr,TDia3r,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReferStDia,PerOPS,PerNPOS,PerLTFscr,PerD,PerDHL,PerHL3,PerTDia3,PerLTFdia,PerEI,PerEI6,PerLTFei,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInPaOut,ReInReOut,ReInNoOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,TotNotPasNoscr,NoscrStDia,LTFscr,TDia,TDia3,HL,NHL,HL3,NHL3,LTFdia,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,LTFei
Nevada,2007,NA,970.3954160644229,29.60458393557712,NA,NA,NA,NA,NA,95.1870869469081,NA,92.36911284180526,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37597,NA,NA,NA,NA,NA,NA,NA,NA,40703,38744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37597,1147,37597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2007,2.9199211621286225,987.2983429447405,20.22045404774071,8.248777283013357,10.51171618366304,7.445798963427988,1.0949704357982335,0.8759763486385868,98.22888283378747,NA,96.98121325111143,98.07763401109058,1.9223659889094271,NA,NA,NA,NA,NA,NA,NA,51.985559566786996,27.77777777777778,70,36.8231046931408,40.794223826714806,37.5,30,282.5,13525,NA,NA,NA,NA,NA,NA,15,12,13946,13699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13422,277,13265,260,NA,NA,NA,144,102,40,104,28,74,113,15,0,12,0,21
New Jersey,2007,0.8413816560897236,974.543729468945,16.818682253112666,13.095120881481547,2.756867553996115,1.8975841605427806,0.581806464317362,0.3401330099086116,98.96623201757494,NA,96.44692084189639,98.55616888782754,1.4438311121724514,NA,NA,NA,NA,NA,NA,NA,16.391697711548698,30.519480519480517,52.12765957446809,11.28259712613092,77.8605641298563,69.14893617021278,40.42553191489361,1556.3829787234044,108877,NA,NA,NA,NA,NA,NA,65,38,112888,111721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109842,1879,107305,1572,NA,NA,NA,308,212,94,214,49,163,1463,65,0,38,0,18
New Mexico,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2007,NA,961.5163262859198,12.957116022541065,NA,NA,NA,NA,NA,98.93868577348613,NA,95.13116167247938,99.07764952344532,0.922350476554674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240581,NA,NA,NA,NA,NA,NA,NA,NA,252894,250210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246968,3242,238362,2219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2007,1.434008893906225,963.0590155681498,9.854997292164056,0.1983203789444779,3.6689270104728418,1.4187534801412651,1.3119655837865463,0.5873334299509538,98.23979018358936,NA,94.61071562382915,99.27133330165218,0.7286666983478274,NA,NA,NA,NA,NA,NA,NA,37.22910216718267,39.08523908523909,30.851063829787233,14.396284829721361,2.0123839009287927,91.48936170212765,40.95744680851064,13.829787234042554,126258,NA,NA,NA,NA,NA,NA,172,77,133450,131101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129809,1292,125338,920,NA,NA,NA,481,186,188,293,58,128,26,172,0,77,0,14
North Dakota,2007,0.41584364279031083,978.4800914856014,48.86162802786152,39.50514606507953,1.1435700176733548,0.31188273209273315,0,0,98.76784064072287,NA,96.64236574596981,95.11262218444539,4.887377815554611,NA,NA,NA,NA,NA,NA,NA,2.3404255319148937,36.36363636363637,0,0.6382978723404255,80.85106382978722,0,0,9500,9412,NA,NA,NA,NA,NA,NA,0,0,9739,9619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9149,470,8952,460,NA,NA,NA,11,3,4,7,0,3,380,0,0,0,0,4
Ohio,2007,0.7596170383534943,989.5445164249269,35.809493779739725,8.857421315140744,19.062087943587684,17.30636931720461,0.5159662902023735,0.3654761222266812,92.197709989230475,NA,91.23373834677872,96.66871854292646,3.3312814570735414,NA,NA,NA,NA,NA,NA,NA,53.2319391634981,3.984962406015038,53.77358490566038,48.328997398439064,24.734840904542725,67.9245283018868,48.113207547169814,1166.0377358490566,138085,NA,NA,NA,NA,NA,NA,72,51,151353,139544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134547,4997,133485,4600,NA,NA,NA,2660,2415,106,2554,57,2358,1236,72,0,51,0,30
Oklahoma,2007,2.0285118611596324,984.4292932138765,20.99885426644879,15.514359234424598,2.0285118611596324,0.9015608271820589,1.840686688830037,1.2020811029094118,99.00697350069734,NA,97.4653649465365,98.4755399526826,1.5244600473174081,NA,NA,NA,NA,NA,NA,NA,9.66010733452594,100,44.44444444444444,4.293381037567084,73.8819320214669,90.74074074074075,59.25925925925925,764.8148148148148,52412,NA,NA,NA,NA,NA,NA,98,64,53775,53241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52123,1118,51613,799,NA,NA,NA,108,48,108,0,48,0,826,89,9,64,0,8
Oregon,2007,1.5596937328670006,977.0772284715001,34.45505246242556,24.50609698459212,7.349465923055109,5.624350127611305,NA,NA,98.2539240271199,NA,96.00167177486765,96.7856624582789,3.2143375417210858,NA,NA,NA,NA,NA,NA,NA,21.330589849108367,21.221864951768488,45.45454545454545,16.323731138545952,71.12482853223594,NA,NA,1571.2121212121212,41346,NA,NA,NA,NA,NA,NA,NA,NA,43068,42316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40858,1458,40017,1329,NA,NA,NA,311,238,66,245,30,208,1037,NA,NA,NA,NA,NA
