State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
New Jersey,2011,1.1558089193186605,9.81458082336693,4.231436043607299,1.2243738552104453,4.368565915390869,0.85216420322647,0.3526196703006083,99.2842486069105,NA,NA,NA,NA,NA,NA,44.510978043912175,26.45739910313901,52.54237288135594,43.11377245508982,73.72881355932203,30.508474576271187,NA,NA,NA,NA,NA,125,87,36,102829,102093,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,445,101091,1002,118,327,62,432,87,0,36,0
New Mexico,2011,3.6543983294179068,57.75254502740799,4.111198120595145,3.3933698773166276,50.31323414252154,2.7407987470634296,1.1746280344557558,58.014689179980316,NA,NA,NA,NA,NA,NA,87.11864406779661,7.263294422827498,35.714285714285715,7.118644067796611,75,32.142857142857146,NA,NA,NA,NA,NA,52,42,18,26414,15324,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,770,14439,885,56,714,20,63,42,0,18,0
New York,2011,NA,10.742140667983277,NA,10.742140667983277,NA,0,0,99.46619371400818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2464,0,0,230608,229377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226913,2464,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2011,1.6174116437049508,7.2742051873294455,2.496620024385591,0.9289748927946385,3.856904688834883,1.2026907094216301,0.779675356452643,99.55574272714512,NA,NA,NA,NA,NA,NA,53.02166476624858,41.935483870967744,41.53846153846154,34.32155074116305,74.35897435897436,48.205128205128204,NA,NA,NA,NA,NA,112,145,94,121101,120563,NA,NA,NA,NA,NA,NA,227,NA,NA,NA,464,119686,877,195,269,81,301,137,8,88,6
North Dakota,2011,1.0325729841359241,24.96949216183235,16.521167746174786,3.6609405801182766,4.881254106824368,0.18774054257016803,0.18774054257016803,99.18070943115166,NA,NA,NA,NA,NA,NA,19.548872180451127,21.153846153846153,63.63636363636363,66.16541353383458,18.181818181818183,18.181818181818183,NA,NA,NA,NA,NA,39,2,2,10741,10653,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,51,10387,266,11,40,7,176,2,0,2,0
Ohio,2011,1.5810743917665921,31.78402819336392,10.838486601502758,1.3520402509032072,19.60088953905032,1.1230061100398225,0.8127017901603978,97.67628147303549,NA,NA,NA,NA,NA,NA,61.66899116689911,8.066339992461364,57.943925233644855,34.10041841004184,71.02803738317756,51.4018691588785,NA,NA,NA,NA,NA,183,152,110,138571,135351,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2652,131049,4302,214,2438,124,1467,152,0,110,0
Oklahoma,2011,1.8176070807649756,57.31389284020863,9.483167377904222,6.124545598229809,41.72593646277857,1.0470997313102577,0.5926979611190138,99.10132158590308,NA,NA,NA,NA,NA,NA,72.80248190279214,4.356060606060606,69.56521739130434,16.546018614270942,57.608695652173914,32.608695652173914,NA,NA,NA,NA,NA,310,53,30,51075,50616,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2111,47715,2901,92,2019,64,480,41,12,26,4
Oregon,2011,1.8958861554626647,27.935768290733,14.596039196875214,1.3476781105096052,12.014892985221225,1.3476781105096052,0.9593640786678544,96.50816744924278,NA,NA,NA,NA,NA,NA,43.008994276369584,15.779467680608365,59.036144578313255,52.24856909239575,71.08433734939759,50.602409638554214,NA,NA,NA,NA,NA,59,59,42,45363,43779,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,525,42556,1223,83,442,49,639,59,0,42,0
Pennsylvania,2011,1.2885003166653322,14.610283251679784,1.4632122240097838,1.3612969447255203,11.793053745750496,0.8298815598861461,0.6988476293778072,96.37765554401818,NA,NA,NA,NA,NA,NA,80.71748878923766,10.925925925925926,59.32203389830508,10.014947683109119,64.40677966101694,54.23728813559322,NA,NA,NA,NA,NA,187,114,96,142532,137369,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1619,135362,2007,177,1442,105,201,114,0,96,0
Rhode Island,2011,1.37350845566143,12.189887543995193,2.489484075886342,1.8885741265344667,7.897673620053223,1.287664177182591,0.686754227830715,99.317929917299,NA,NA,NA,NA,NA,NA,64.7887323943662,17.391304347826086,75,20.422535211267608,93.75,50,NA,NA,NA,NA,NA,22,15,8,11729,11649,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,91,11507,142,16,75,12,29,15,0,8,0
