State,Year,HLp,EIr,LTF,PerD,PerDHL,PerEI,PerEI6,PerHL3,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr,Tscr,Birth,HL,Tdiag,TotPas,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,NHL
Minnesota,2007,1.3299091993029442,0.3821578158916506,862,16.22641509433962,50.58139534883721,28.735632183908045,24.137931034482758,34.48275862068966,81.32075471698114,NA,NA,NA,NA,NA,2.629245773334556,13.176801491944113,16.203491393805983,0.39744412852731664,NA,NA,NA,25,21,NA,NA,NA,88.874699417175,65418,73607,87,172,64358,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,21,30,1060,NA,85
Mississippi,2007,1.905615962336061,1.905615962336061,46,78.09187279151944,19.230769230769234,100,57.647058823529406,48.23529411764706,8.12720848056537,NA,NA,NA,NA,NA,9.909203004147518,1.0312745207936331,12.689160408026007,1.748682883084856,NA,NA,NA,85,49,NA,NA,NA,98.01357973148168,44605,45509,85,442,44039,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,85,49,41,566,NA,357
Missouri,2007,1.6442081839535172,0.8282853257510199,846,32.88590604026846,27.142857142857142,50.37593984962406,33.08270676691729,66.16541353383458,56.77852348993289,NA,NA,NA,NA,NA,6.057609098776116,10.45864754605019,18.420076647298803,1.9038200024724934,NA,NA,NA,67,44,NA,NA,NA,97.6661072407423,80890,82823,133,490,79400,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,66,43,88,1490,NA,357
Montana,2007,0.9365687526607067,0.8514261387824607,302,4.430379746835443,78.57142857142857,90.9090909090909,81.81818181818183,100,95.56962025316456,NA,NA,NA,NA,NA,1.191996594295445,25.71306939123031,26.905065985525756,0,NA,NA,NA,10,9,NA,NA,NA,94.71010402386905,11745,12401,11,14,11429,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,3,11,316,NA,3
Nebraska,2007,1.859219871341985,1.487375897073588,114,39.55555555555556,56.17977528089888,80,68,56.00000000000001,50.66666666666667,NA,NA,NA,NA,NA,3.3094113709887334,4.239021306659725,8.366489421038933,0.8180567433904734,NA,NA,NA,40,34,NA,NA,NA,99.17029279445387,26893,27118,50,89,26668,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,34,28,225,NA,39
Nevada,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.60458393557712,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1870869469081,38744,40703,NA,NA,37597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147,NA,NA
New Hampshire,2007,2.9199211621286225,1.0949704357982335,113,51.985559566786996,27.77777777777778,37.5,30,70,40.794223826714806,NA,NA,NA,NA,NA,10.51171618366304,8.248777283013357,20.22045404774071,1.4599605810643113,NA,NA,NA,15,12,NA,NA,NA,98.22888283378747,13699,13946,40,144,13422,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,12,28,277,NA,104
New Jersey,2007,0.8413816560897236,0.581806464317362,1463,16.391697711548698,30.519480519480517,69.14893617021278,40.42553191489361,52.12765957446809,77.8605641298563,NA,NA,NA,NA,NA,2.756867553996115,13.095120881481547,16.818682253112666,0.9666938176350015,NA,NA,NA,65,38,NA,NA,NA,98.96623201757494,111721,112888,94,308,109842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,65,38,49,1879,NA,214
New Mexico,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.957116022541065,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.93868577348613,250210,252894,NA,NA,246968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3242,NA,NA
North Carolina,2007,1.434008893906225,1.3119655837865463,26,37.22910216718267,39.08523908523909,91.48936170212765,40.95744680851064,30.851063829787233,2.0123839009287927,NA,NA,NA,NA,NA,3.6689270104728418,0.1983203789444779,9.854997292164056,5.987749902746737,NA,NA,NA,172,77,NA,NA,NA,98.23979018358936,131101,133450,188,481,129809,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,172,77,58,1292,NA,293
North Dakota,2007,0.41584364279031083,0,380,2.3404255319148937,36.36363636363637,0,0,0,80.85106382978722,NA,NA,NA,NA,NA,1.1435700176733548,39.50514606507953,48.86162802786152,8.212911945108639,NA,NA,NA,0,0,NA,NA,NA,98.76784064072287,9619,9739,4,11,9149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,470,NA,7
Ohio,2007,0.7596170383534943,0.5159662902023735,1236,53.2319391634981,3.984962406015038,67.9245283018868,48.113207547169814,53.77358490566038,24.734840904542725,NA,NA,NA,NA,NA,19.062087943587684,8.857421315140744,35.809493779739725,7.889984521011294,NA,NA,NA,72,51,NA,NA,NA,92.197709989230475,139544,151353,106,2660,134547,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,72,51,57,4997,NA,2554
Oklahoma,2007,2.0285118611596324,1.840686688830037,826,9.66010733452594,100,90.74074074074075,59.25925925925925,44.44444444444444,73.8819320214669,NA,NA,NA,NA,NA,2.0285118611596324,15.514359234424598,20.99885426644879,3.455983170864559,NA,NA,NA,98,64,NA,NA,NA,99.00697350069734,53241,53775,108,108,52123,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,89,64,48,1118,NA,0
Oregon,2007,1.5596937328670006,NA,1037,21.330589849108367,21.221864951768488,NA,NA,45.45454545454545,71.12482853223594,NA,NA,NA,NA,NA,7.349465923055109,24.50609698459212,34.45505246242556,2.5994895547783345,NA,NA,NA,NA,NA,NA,NA,NA,98.2539240271199,42316,43068,66,311,40858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1458,NA,245
Pennsylvania,2007,1.0726624317396634,1.0726624317396634,220,71.07736804049168,15.666327568667345,100,65.5844155844156,48.701298701298704,15.907447577729572,NA,NA,NA,NA,NA,6.846929677922657,1.5323749024852333,9.633065864259445,1.2537612838515546,NA,NA,NA,154,101,NA,NA,NA,95.71136192425384,143568,150001,154,983,142185,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,119,86,75,1383,NA,829
Rhode Island,2007,1.0668292311209329,0.8382229673093042,17,88.17733990147784,7.82122905027933,78.57142857142857,50,64.28571428571429,8.374384236453201,NA,NA,NA,NA,NA,13.640173740760497,1.2954354949325613,15.469023851253525,0.5334146155604664,NA,NA,NA,11,7,NA,NA,NA,98.63950691521347,13123,13304,14,179,12920,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,10,7,9,203,NA,165
South Carolina,2007,1.3422125858241702,0.8087691222273845,501,45.68527918781726,7.878787878787878,60.256410256410255,34.61538461538461,55.12820512820513,23.119520073834796,NA,NA,NA,NA,NA,17.035775127768314,8.621134685870631,37.289418890781754,11.632509077142808,NA,NA,NA,47,27,NA,NA,NA,96.52199910309433,58113,60207,78,990,55946,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,47,27,43,2167,NA,912
South Dakota,2007,0.6339144215530903,0,307,4.885057471264368,47.05882352941176,0,0,62.5,88.2183908045977,NA,NA,NA,NA,NA,1.347068145800317,24.32646592709984,27.57527733755943,1.9017432646592711,NA,NA,NA,0,0,NA,NA,NA,98.47834568864612,12620,12815,8,17,12272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5,348,NA,9
Tennessee,2007,0.6102230305350819,0.3828850387671102,1106,67.2782874617737,2.1074380165289255,62.745098039215684,47.05882352941176,56.86274509803921,30.747845426744508,NA,NA,NA,NA,NA,28.955681056762707,13.233464152388244,43.038671388915475,0.8495261797645257,NA,NA,NA,32,24,NA,NA,NA,91.0205726358894,83576,91821,51,2420,79979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,29,24,29,3597,NA,2369
Texas,2007,0.6568144499178982,0.2049261083743842,5598,9.971822166562303,39.24646781789639,31.2,12.4,42.8,87.63306199123356,NA,NA,NA,NA,NA,1.6735632183908047,14.707389162561576,16.782922824302137,0.4019704433497537,NA,NA,NA,78,31,NA,NA,NA,98.4173074834646,380625,386746,250,637,374237,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,63,20,107,6388,NA,387
Utah,2007,1.2156841398581097,0.8890824306424981,503,21.933085501858738,37.85310734463277,73.13432835820896,37.3134328358209,50.74626865671642,62.32961586121437,NA,NA,NA,NA,NA,3.211583473953514,9.126703318636256,14.64264329649992,2.3043565039101486,NA,NA,NA,49,25,NA,NA,NA,97.85688920454545,55113,56320,67,177,54306,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,49,25,34,807,NA,110
Vermont,2007,1.9733596447952642,1.808913007728992,31,24.489795918367346,100,91.66666666666666,33.33333333333333,33.33333333333333,63.26530612244898,NA,NA,NA,NA,NA,1.9733596447952642,5.097845749054431,8.057885216247328,0.9866798223976321,NA,NA,NA,11,4,NA,NA,NA,97.92270531400966,6081,6210,12,12,6032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,4,4,49,NA,0
Virginia,2007,1.1630765739357376,0.8983111749910169,415,68.6184812442818,8.200000000000001,77.23577235772358,62.601626016260155,45.52845528455284,18.98444647758463,NA,NA,NA,NA,NA,14.183860657752899,3.924201448644969,20.670612931898557,2.5625508255006904,NA,NA,NA,95,77,NA,NA,NA,96.22222626608192,105754,109906,123,1500,103568,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,47,42,30,56,2186,NA,1377
Washington,2007,1.5352560587783748,0,1531,19.68576709796673,29.577464788732392,0,0,54.761904761904766,70.74861367837339,NA,NA,NA,NA,NA,5.190627627298315,18.65457957134676,26.367413580923834,2.5222063822787586,NA,NA,NA,0,0,NA,NA,NA,95.57920970803686,82071,85867,126,426,79907,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,69,2164,NA,300
West Virginia,2007,0.3982675362174541,0.3982675362174541,3,93.93939393939394,12.903225806451612,100,62.5,37.5,4.545454545454546,NA,NA,NA,NA,NA,3.0865734056852694,0.14935032608154528,3.2857071737939965,0.04978344202718176,NA,NA,NA,8,5,NA,NA,NA,91.65031710544326,20087,21917,8,62,20021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,5,3,66,NA,54
Wisconsin,2007,1.4192327541716843,0.5160846378806124,644,28.33178005591799,32.56578947368421,36.36363636363637,25.252525252525253,42.42424242424242,60.01863932898416,NA,NA,NA,NA,NA,4.358048053214061,9.232180744308733,15.382189345719365,1.7919605481965708,NA,NA,NA,36,25,NA,NA,NA,97.70158410017228,69756,71397,99,304,68683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36,25,42,1073,NA,205
Wyoming,2007,2.6477146042363433,1.3935340022296545,11,58.139534883720934,76,52.63157894736842,36.84210526315789,89.47368421052632,25.581395348837212,NA,NA,NA,NA,NA,3.483835005574136,1.5328874024526198,5.992196209587514,0.9754738015607581,NA,NA,NA,10,7,NA,NA,NA,98.76135425268373,7176,7266,19,25,7133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,7,17,43,NA,6
US,2007,1.0252274704768862,0.6115496806401485,28112,39.32720121213976,13.34838107098381,59.650145772594755,36.23906705539358,51.22448979591837,43.02483968227245,NA,NA,NA,NA,NA,7.680537924598854,8.402680655990153,19.52983606224177,3.4466174816527624,NA,NA,NA,2046,1243,NA,NA,NA,96.99356391151828,3345599,3449300,3430,25696,3105353,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,185,1792,1058,1757,65339,NA,22266
